code,sch_sub_type_ID
1103,5
1104,5
1105,5
1106,5
1107,5
1108,5
1109,5
1110,5
1111,5
1190,2
1201,6
1301,7
1302,7
1303,7
1304,22
1321,7
1322,7
1323,22
1324,22
1325,7
1326,7
1327,7
1328,7
1329,22
1330,7
1331,7
1332,7
1501,10
1502,10
1900,16
1901,12
1903,12
1990,12
1997,12
1998,12
1999,12
2101,5
2102,5
2103,5
2104,5
2105,5
2106,5
2107,5
2108,5
2109,5
2190,2
3102,5
3103,5
3104,5
3105,5
3107,5
3108,5
3109,5
3110,5
3190,2
3203,6
3210,6
3310,22
3311,7
3312,7
3324,7
3701,4
3900,16
3901,12
3902,12
3903,12
3904,12
3990,12
3997,12
3998,12
3999,12
4101,5
4102,5
4103,5
4104,5
4105,5
4106,5
4107,5
4108,5
4109,5
4110,5
4111,
4112,5
4114,5
4115,5
4116,5
4117,5
4118,5
4190,2
4201,6
4202,6
4205,6
4301,7
4302,22
4303,7
4304,22
4305,22
4601,11
4602,11
4603,11
4900,16
4911,
4912,27
4913,27
4990,12
4997,12
4998,12
4999,12
5322,7
6023,19
6103,5
6104,5
6105,5
6107,5
6108,5
6109,5
6110,5
6111,
6112,5
6114,5
6115,5
6116,5
6117,5
6119,5
6120,
6121,5
6122,15
6123,1
6190,2
6201,6
6202,6
6203,6
6204,6
6205,6
6206,6
6301,
6302,22
6303,12
6304,12
6305,8
6321,22
6322,23
6323,22
6324,22
6325,7
6326,7
6327,7
6328,7
6329,7
6330,7
6900,16
6901,12
6902,12
6903,12
6904,12
6906,12
6907,12
6908,12
6990,12
6997,12
6998,12
6999,12
7032,19
7102,5
7103,5
7104,5
7105,5
7106,5
7107,5
7108,5
7109,5
7110,5
7111,5
7112,5
7113,5
7114,5
7115,5
7116,5
7117,5
7118,5
7119,5
7120,5
7121,5
7122,5
7123,5
7124,5
7125,5
7126,5
7127,5
7128,5
7129,5
7130,5
7131,5
7132,1
7133,5
7134,5
7135,3
7136,5
7137,5
7190,2
7202,6
7203,6
7204,6
7205,6
7301,12
7302,22
7303,22
7304,7
7305,7
7306,7
7307,22
7308,22
7309,22
7310,7
7311,22
7312,22
7313,22
7314,22
7315,7
7316,12
7317,8
7318,22
7319,7
7320,7
7323,22
7324,12
7327,12
7328,7
7330,7
7331,22
7332,22
7333,7
7334,22
7335,7
7336,22
7337,7
7338,7
7339,22
7340,7
7341,7
7342,22
7343,7
7344,7
7345,22
7346,7
7347,7
7348,22
7349,7
7350,22
7351,7
7352,22
7353,7
7354,23
7355,8
7356,23
7357,23
7401,9
7402,9
7403,9
7404,9
7405,9
7406,9
7407,9
7501,10
7701,4
7702,4
7704,4
7705,4
7900,16
7901,12
7902,12
7903,12
7904,12
7905,12
7910,12
7911,12
7912,12
7913,12
7914,12
7970,12
7971,27
7972,27
7973,27
7974,27
7975,27
7976,27
7990,12
7997,12
7998,12
7999,12
8101,5
8102,5
8103,5
8104,5
8105,5
8106,5
8107,5
8108,5
8109,5
8110,5
8111,5
8112,5
8114,5
8115,5
8116,5
8117,5
8118,
8119,
8120,15
8121,5
8190,2
8201,6
8301,22
8302,22
8303,12
8321,7
8322,22
8323,7
8324,7
8325,7
8326,7
8327,7
8328,22
8329,7
8330,22
8331,22
8332,22
8335,7
8601,11
8602,11
8603,11
8604,11
8605,11
8606,11
8900,16
8901,12
8902,12
8990,12
8997,12
8998,12
8999,12
9101,5
9102,5
9103,5
9105,5
9106,5
9107,5
9108,5
9190,2
9201,6
9301,7
9302,
9303,22
9304,7
9305,22
9321,7
9322,22
9323,22
9324,22
9325,7
9326,7
9327,7
9328,22
9329,7
9330,7
9331,7
9332,22
9333,22
9334,7
9335,22
9336,7
9337,7
9601,11
9900,16
9901,12
9902,12
9903,12
9990,12
9997,12
9998,12
9999,12
10030,19
10101,5
10102,5
10103,5
10104,5
10105,5
10106,5
10107,5
10109,5
10110,5
10111,5
10112,5
10113,5
10114,5
10115,5
10116,5
10117,5
10118,5
10119,5
10120,5
10121,5
10122,5
10123,5
10124,5
10125,5
10126,5
10127,5
10128,5
10129,5
10130,1
10190,2
10202,6
10203,6
10205,6
10206,6
10208,6
10301,7
10302,12
10303,22
10304,7
10305,7
10306,7
10307,7
10308,7
10309,22
10310,22
10311,12
10312,7
10313,7
10314,7
10315,8
10316,7
10321,7
10323,7
10325,7
10326,7
10327,7
10328,7
10329,7
10330,7
10331,7
10332,22
10333,7
10334,22
10335,7
10336,7
10337,7
10338,7
10339,7
10340,23
10341,7
10342,22
10343,7
10344,22
10345,7
10401,9
10402,9
10404,9
10405,9
10406,9
10435,9
10900,16
10901,12
10902,12
10990,12
10997,12
10998,12
10999,12
12101,5
12102,5
12190,2
12900,16
12901,12
12990,12
12997,12
12998,12
12999,12
13101,5
13102,5
13103,5
13104,5
13190,2
13301,7
13302,22
13320,7
13321,7
13322,7
13900,16
13901,12
13902,12
13903,12
13990,12
13997,12
13998,12
13999,12
15101,5
15102,5
15190,2
15301,7
15900,16
15990,12
15997,12
15998,12
15999,12
16103,5
16104,5
16105,5
16106,5
16108,5
16109,5
16110,5
16111,5
16112,5
16113,5
16114,5
16115,19
16116,19
16190,2
16221,6
16301,7
16302,22
16303,8
16304,7
16322,8
16323,7
16324,7
16325,22
16326,22
16330,22
16331,7
16332,22
16333,7
16334,7
16335,7
16401,9
16900,16
16901,12
16902,12
16903,27
16904,27
16905,12
16990,12
16997,12
16998,12
16999,12
17001,10
17101,5
17102,5
17106,5
17107,5
17109,5
17110,5
17112,5
17113,5
17114,5
17115,
17116,5
17117,5
17190,2
17301,7
17302,22
17303,7
17304,7
17305,8
17320,7
17321,7
17323,7
17324,7
17325,
17326,7
17327,22
17330,22
17336,12
17401,9
17402,9
17403,9
17404,9
17501,24
17701,4
17900,16
17901,17
17902,12
17903,12
17990,12
17997,12
17998,12
17999,12
18101,5
18190,2
18301,22
18302,22
18900,16
18990,12
18997,12
18998,12
18999,12
19101,5
19103,
19104,5
19106,5
19107,5
19108,5
19111,5
19112,5
19113,5
19114,5
19115,5
19116,
19117,5
19190,2
19201,6
19301,7
19302,7
19303,7
19304,22
19305,22
19306,22
19307,22
19308,22
19309,23
19310,22
19311,8
19320,7
19321,7
19322,22
19327,7
19328,22
19329,7
19330,22
19331,7
19332,7
19333,12
19334,22
19335,8
19401,9
19900,16
19901,12
19902,12
19903,12
19904,12
19905,12
19933,27
19990,12
19997,12
19998,12
19999,12
20102,5
20103,5
20104,5
20105,15
20190,2
20301,7
20302,7
20303,22
20325,7
20327,7
20329,7
20330,22
20331,7
20332,7
20333,7
20335,7
20401,9
20410,9
20900,16
20901,12
20902,12
20903,27
20990,12
20997,12
20998,12
20999,12
21017,19
21102,5
21103,5
21104,5
21105,
21106,5
21107,5
21108,
21109,5
21110,5
21111,5
21112,5
21113,5
21114,5
21115,5
21116,5
21117,1
21120,5
21190,2
21203,6
21207,6
21208,6
21304,7
21305,7
21306,22
21307,22
21308,7
21309,7
21310,
21330,7
21331,7
21333,7
21334,7
21337,7
21338,7
21339,22
21355,22
21401,9
21404,9
21405,9
21406,9
21414,9
21420,9
21501,10
21502,10
21503,24
21900,16
21901,12
21902,27
21903,12
21904,27
21905,27
21906,12
21990,12
21991,12
21997,12
21998,12
21999,12
22101,5
22190,2
22301,22
22900,16
22990,12
22997,12
22998,12
22999,12
23104,
23105,5
23106,15
23107,5
23108,5
23109,5
23110,5
23111,5
23112,5
23113,5
23114,5
23190,2
23301,22
23302,
23303,22
23304,8
23322,22
23323,7
23324,22
23325,7
23326,7
23327,7
23328,22
23329,7
23330,7
23331,7
23332,7
23333,7
23334,7
23335,7
23336,22
23337,22
23601,11
23900,16
23902,12
23903,12
23904,12
23905,12
23990,12
23997,12
23998,12
23999,12
24103,5
24104,5
24105,5
24106,5
24107,5
24108,5
24109,5
24110,5
24111,5
24112,5
24113,5
24190,2
24203,
24301,7
24302,7
24303,22
24305,12
24306,8
24307,12
24310,22
24311,8
24312,22
24313,8
24321,7
24322,7
24323,8
24336,7
24401,9
24402,9
24403,9
24404,9
24405,9
24419,9
24420,9
24900,16
24901,27
24990,12
24997,12
24998,12
24999,12
25101,5
25102,5
25103,
25104,5
25105,5
25106,5
25107,5
25108,5
25109,5
25110,5
25190,2
25301,22
25302,22
25900,16
25901,12
25990,12
25997,12
25998,12
25999,12
26101,5
26103,5
26105,5
26106,5
26107,5
26109,5
26110,5
26111,5
26113,5
26115,5
26116,5
26118,5
26119,5
26120,5
26121,5
26122,5
26123,5
26124,5
26125,5
26126,5
26190,2
26201,6
26203,6
26206,6
26207,6
26209,6
26210,6
26211,6
26212,6
26213,6
26214,6
26301,7
26302,8
26305,7
26306,7
26307,7
26308,22
26322,7
26323,22
26325,22
26326,7
26327,7
26328,22
26329,22
26330,7
26331,7
26332,22
26333,12
26334,
26335,7
26336,7
26337,7
26338,22
26339,22
26340,8
26341,12
26401,9
26402,9
26403,9
26404,9
26410,9
26411,9
26424,9
26601,11
26602,11
26900,16
26901,12
26902,12
26903,12
26904,12
26905,27
26906,12
26907,12
26908,12
26909,12
26910,12
26976,27
26990,12
26997,12
26998,12
26999,12
27101,5
27103,5
27104,5
27105,5
27106,5
27111,5
27112,5
27113,5
27115,5
27116,15
27190,2
27202,6
27205,6
27207,6
27301,7
27302,12
27304,7
27305,22
27306,7
27320,22
27321,7
27322,7
27323,7
27324,7
27325,22
27326,7
27327,22
27401,9
27402,9
27900,16
27901,12
27902,12
27903,12
27904,12
27905,12
27906,12
27907,
27990,12
27997,12
27998,12
27999,12
28101,
28102,5
28103,5
28104,5
28105,5
28106,5
28107,
28108,5
28109,5
28110,
28111,5
28112,5
28113,5
28114,5
28115,5
28116,5
28117,5
28118,5
28119,5
28120,5
28121,5
28122,5
28123,
28124,5
28125,5
28126,5
28127,5
28128,5
28129,
28130,5
28131,5
28132,5
28133,5
28134,5
28135,5
28136,5
28137,5
28138,5
28139,5
28140,5
28141,5
28142,5
28143,5
28144,5
28145,5
28146,5
28147,5
28148,5
28149,5
28150,5
28151,5
28152,1
28153,5
28154,5
28155,
28156,5
28157,5
28158,5
28159,5
28160,5
28161,5
28162,5
28163,5
28164,5
28165,5
28166,
28167,15
28168,5
28169,5
28170,3
28171,
28172,5
28173,5
28174,5
28175,
28176,5
28177,5
28178,3
28179,5
28180,5
28181,5
28182,5
28183,
28184,
28185,
28186,5
28187,5
28188,5
28189,5
28190,2
28191,5
28192,5
28193,5
28194,5
28195,5
28196,5
28197,3
28198,3
28199,5
28202,6
28204,6
28205,6
28206,6
28209,6
28210,6
28211,6
28212,
28215,6
28216,6
28217,6
28219,6
28220,6
28222,6
28223,6
28224,6
28227,6
28228,6
28229,6
28230,6
28231,6
28301,22
28302,22
28303,7
28304,7
28305,7
28306,7
28307,7
28308,7
28309,7
28310,7
28311,7
28312,22
28313,7
28314,22
28315,7
28316,7
28317,7
28318,
28319,12
28320,22
28321,7
28322,7
28323,22
28324,7
28325,7
28326,8
28327,8
28328,22
28329,7
28330,7
28331,8
28332,7
28333,7
28334,7
28335,7
28336,22
28337,22
28338,22
28339,22
28340,7
28341,7
28342,7
28343,7
28344,7
28345,12
28346,7
28347,7
28348,7
28349,7
28350,7
28351,7
28352,7
28353,7
28354,12
28355,7
28356,12
28357,7
28358,12
28359,22
28360,7
28361,22
28362,22
28363,22
28364,22
28365,7
28366,22
28367,
28368,7
28369,7
28370,7
28371,7
28372,7
28373,7
28374,7
28375,12
28376,7
28377,7
28378,7
28379,22
28380,7
28381,7
28382,7
28383,7
28384,7
28385,22
28386,22
28387,12
28388,7
28389,23
28390,7
28391,8
28392,8
28393,8
28394,7
28395,8
28396,8
28401,9
28402,9
28403,9
28404,9
28405,9
28406,9
28407,9
28408,9
28409,9
28410,9
28411,9
28412,9
28413,9
28414,9
28415,9
28416,9
28417,9
28418,9
28419,9
28420,9
28421,9
28422,9
28435,9
28437,9
28438,9
28439,9
28440,9
28446,9
28447,9
28501,10
28502,10
28503,10
28504,10
28505,24
28506,10
28507,24
28508,24
28601,11
28602,11
28603,5
28604,5
28605,5
28606,11
28607,11
28608,11
28609,11
28610,11
28611,11
28612,11
28613,11
28614,11
28615,11
28701,4
28702,4
28703,4
28704,4
28705,4
28842,4
28900,16
28901,12
28902,12
28903,12
28904,12
28905,12
28906,12
28907,12
28908,12
28909,12
28910,12
28914,12
28915,12
28916,12
28917,12
28918,12
28919,12
28920,12
28922,27
28923,27
28924,27
28925,27
28926,27
28927,27
28928,27
28929,27
28930,27
28931,27
28932,27
28933,27
28934,27
28935,27
28936,27
28937,12
28938,12
28939,12
28940,27
28942,12
28943,12
28944,27
28945,27
28990,12
28997,12
28998,12
28999,12
30102,5
30103,5
30104,5
30105,5
30106,5
30190,2
30321,7
30322,7
30323,7
30324,7
30325,7
30900,16
30901,12
30990,12
30997,12
30998,12
30999,12
31101,5
31102,5
31103,5
31104,5
31105,5
31106,5
31107,5
31108,5
31109,5
31190,2
31201,6
31202,6
31301,22
31302,7
31319,7
31320,22
31321,7
31323,22
31324,7
31325,7
31326,7
31327,22
31328,7
31329,7
31330,7
31331,7
31401,9
31501,10
31900,16
31901,12
31902,27
31990,12
31997,12
31998,12
31999,12
32103,5
32104,5
32105,5
32106,5
32107,5
32108,5
32109,
32110,5
32112,5
32113,5
32114,5
32115,5
32190,2
32202,6
32203,6
32204,6
32301,12
32302,22
32303,8
32304,22
32317,22
32318,12
32319,7
32320,22
32321,22
32322,7
32323,22
32324,22
32325,7
32326,7
32327,22
32328,7
32329,22
32330,7
32331,7
32332,7
32333,7
32334,7
32335,7
32336,22
32337,7
32338,22
32339,22
32340,7
32341,22
32410,9
32501,24
32502,10
32601,11
32900,16
32901,12
32902,12
32903,12
32904,12
32905,12
32906,12
32907,12
32908,12
32909,12
32910,12
32911,12
32912,12
32913,27
32914,12
32990,12
32997,12
32998,12
32999,12
33101,5
33102,5
33103,5
33105,5
33106,5
33107,5
33108,5
33109,5
33110,5
33190,2
33301,7
33302,7
33303,7
33304,22
33305,7
33900,16
33901,12
33902,12
33990,12
33996,12
33997,12
33998,12
33999,12
34101,5
34103,5
34104,5
34105,5
34106,5
34107,5
34108,5
34190,2
35040,19
35041,25
35042,25
35101,5
35102,5
35103,5
35104,5
35105,5
35106,5
35107,5
35108,5
35109,5
35110,5
35111,5
35112,5
35113,5
35114,5
35115,5
35116,5
35117,5
35118,5
35119,5
35120,5
35121,5
35122,5
35123,5
35124,5
35125,5
35126,5
35127,5
35128,5
35129,5
35130,5
35131,5
35132,5
35133,5
35134,5
35135,5
35136,5
35137,5
35138,5
35139,5
35140,1
35141,15
35142,5
35190,2
35201,6
35203,6
35204,6
35205,6
35206,6
35207,6
35208,6
35209,6
35301,7
35302,
35303,12
35304,7
35305,22
35306,7
35307,7
35308,7
35309,7
35310,7
35311,22
35312,7
35313,7
35314,7
35315,22
35316,22
35317,22
35318,7
35319,22
35320,7
35321,22
35322,22
35323,22
35324,22
35325,7
35326,7
35327,7
35328,7
35329,8
35335,12
35336,7
35337,7
35338,7
35339,22
35340,22
35349,7
35350,7
35351,7
35352,7
35353,22
35354,22
35355,22
35356,7
35357,7
35358,12
35359,7
35360,7
35361,7
35362,7
35363,7
35364,7
35365,7
35366,7
35367,22
35368,7
35369,22
35370,22
35371,7
35372,22
35373,22
35374,22
35375,7
35376,23
35377,7
35411,9
35412,9
35413,9
35414,9
35415,9
35416,9
35435,9
35436,9
35501,24
35506,10
35900,16
35901,12
35902,12
35903,12
35904,12
35905,12
35906,12
35907,12
35908,27
35940,27
35941,12
35990,12
35997,12
35998,12
35999,12
36101,5
36102,5
36103,5
36104,5
36105,5
36106,5
36107,5
36108,5
36109,5
36110,5
36111,5
36112,5
36113,5
36190,2
36202,6
36301,7
36302,22
36303,22
36305,22
36315,22
36320,22
36321,7
36322,7
36323,7
36324,22
36325,22
36326,12
36401,9
36402,9
36403,9
36900,16
36901,12
36902,27
36903,27
36904,12
36905,22
36990,12
36991,12
36997,12
36998,12
36999,12
38102,5
38103,5
38104,5
38105,5
38106,5
38107,5
38108,5
38109,5
38110,5
38111,5
38112,5
38190,2
38202,6
38203,6
38204,6
38205,6
38206,6
38302,8
38304,22
38305,7
38306,7
38307,22
38322,22
38329,7
38330,7
38333,7
38334,22
38335,22
38401,9
38900,16
38901,12
38990,12
38991,12
38992,12
38993,12
38995,12
38997,12
38998,12
38999,12
39027,19
39101,5
39102,
39105,
39106,5
39107,
39108,5
39109,5
39110,5
39111,
39112,5
39113,5
39115,5
39116,
39117,5
39118,5
39119,5
39120,5
39121,5
39122,
39123,5
39124,5
39125,5
39126,5
39127,1
39128,5
39129,5
39130,19
39131,5
39132,5
39133,5
39190,2
39202,6
39204,6
39208,6
39210,6
39211,6
39213,6
39214,7
39222,6
39290,
39304,22
39305,12
39306,8
39307,22
39310,22
39311,
39320,22
39321,12
39322,7
39323,7
39324,7
39325,22
39326,7
39327,7
39328,22
39329,22
39330,22
39331,22
39332,7
39333,12
39408,9
39409,9
39410,9
39411,9
39601,11
39602,11
39603,11
39900,16
39901,12
39902,12
39903,22
39904,27
39905,27
39906,27
39907,12
39908,27
39909,
39910,
39990,12
39997,12
39998,12
39999,12
40190,2
41190,2
41604,11
41605,11
41606,11
41607,11
42190,2
43190,2
46190,2
47190,2
47901,12
47999,12
48190,2
48601,11
48602,11
48999,12
49190,2
50190,2
50901,27
51190,2
51601,11
51602,11
51603,11
52190,2
52999,12
53190,2
54190,2
55190,2
58190,2
59190,2
60000,4
60190,2
61190,2
61999,13
62190,2
63190,2
64190,2
67190,2
68190,2
69190,2
69601,11
70501,24
70502,24
70503,24
70504,24
70505,10
70506,10
70507,24
70508,24
70701,
70901,12
70902,12
70903,12
70904,12
70905,12
70906,12
70907,12
70908,8
70909,12
70910,12
70911,12
70912,12
70913,12
70914,12
70915,12
70916,12
70917,12
70918,12
70919,12
70920,12
70921,12
70922,12
70923,12
70924,12
70925,12
70926,12
70927,18
70928,12
70929,12
70930,12
70931,12
70932,12
70933,12
70934,12
70935,12
70936,18
70937,18
70938,18
70939,18
70940,12
70941,12
70942,12
70943,12
70944,12
70945,12
70946,18
70947,12
70948,12
70949,12
70950,12
70951,12
70952,18
70953,12
70954,12
70955,12
70956,12
70957,12
70958,12
70959,12
70960,12
70961,12
70962,12
70963,12
70964,12
70965,12
70966,12
70967,12
70968,6
70969,12
70970,6
70971,6
70972,12
70973,12
70974,12
70975,12
70976,12
70977,12
70978,12
70979,12
70980,6
70981,12
70982,12
70983,12
70984,12
70985,12
70986,12
70987,8
70988,8
70989,8
70990,12
70991,6
70992,12
70993,12
70994,6
70995,12
70996,27
70997,12
70998,27
70999,12
709A1,7
709A2,12
709A3,12
709A4,12
709A5,12
709A6,12
709A7,12
709A8,6
709A9,7
709B0,7
709B1,8
709B2,8
709B3,8
709B4,12
709B5,12
709B6,12
709B7,12
709B8,12
709B9,12
709C0,6
709C1,12
709C2,6
709C3,12
709C4,27
709C5,12
709C6,12
709C7,12
709C8,12
709C9,12
709D0,12
709D1,8
79190,2
79604,11
81190,2
81601,11
82190,2
82601,11
83190,2
83601,11
84190,2
84601,11
85190,2
85701,15
96101,5
96102,5
96103,5
96104,5
96105,5
96106,5
96107,5
96108,5
96109,
96110,5
96111,
96112,5
96113,5
96114,15
96115,5
96190,2
96201,6
96202,6
96203,6
96301,22
96302,22
96303,7
96304,22
96305,22
96306,7
96307,7
96308,7
96309,22
96310,22
96311,22
96312,8
96401,9
96501,10
96900,16
96901,12
96902,27
96903,12
96990,12
96997,12
96998,12
96999,12
97101,5
97102,5
97103,5
97105,5
97106,5
97190,2
97301,22
97302,22
97303,7
97304,7
97305,22
97306,7
97307,22
97308,7
97320,5
97321,22
97322,7
97601,11
97701,4
97900,16
97901,12
97902,27
97990,12
97997,12
97998,12
97999,12
98002,19
98101,5
98102,1
98103,5
98104,5
98105,5
98106,5
98107,5
98108,5
98109,5
98190,2
98301,22
98302,7
98303,22
98304,22
98305,7
98306,7
98307,22
98308,7
98309,22
98310,8
98900,16
98901,12
98902,12
98990,12
98997,12
98998,12
98999,12
99101,5
99102,5
99190,2
99900,16
99901,12
99990,12
99997,12
99998,12
99999,12
